,name,iata_code,iso_country,latitude,longitude
6740,Vila Rica Airport,VLP,BR,-9.979443550109863,-51.1422233581543
6741,Regional Orlando Villas Boas Airport,MBK,BR,-10.170277595500002,-54.9527778625
6742,Xavantina Airport,NOK,BR,-14.6983003616333,-52.34640121459961
6743,Apuí Airport,IUP,BR,-7.172773,-59.8396
6744,Sehulea Airport,SXH,PG,-9.96452777778,151.161861111
6745,Nunam Iqua Airport,SXP,US,62.520599,-164.848006
6746,Aishalton Airport,AHL,GY,2.473206,-59.321596
6747,Annai Airport,NAI,GY,3.959439992904663,-59.12419891357422
6748,Baramita Airport,BMJ,GY,7.370120048522949,-60.48799896240234
6749,Bartica A Airport,GFO,GY,6.358864,-58.655207
6750,Cheddi Jagan International Airport,GEO,GY,6.49855,-58.254101
6751,Eugene F. Correira International Airport,OGL,GY,6.80628,-58.1059
6752,Imbaimadai Airport,IMB,GY,5.708109855651856,-60.2942008972168
6753,Kamarang Airport,KAR,GY,5.865340232849121,-60.614200592041016
6754,Karanambo Airport,KRM,GY,3.751940011978149,-59.30970001220703
6755,Karasabai Airport,KRG,GY,4.033329963684082,-59.53329849243164
6756,Kato Airport,KTO,GY,4.649159908294678,-59.83219909667969
6757,Konawaruk Airport,KKG,GY,5.2684,-58.995
6758,Lumid Pau Airport,LUB,GY,2.39392995834,-59.4410018921
6759,Lethem Airport,LTM,GY,3.37276,-59.789398
6760,Mabaruma Airport,USI,GY,8.20017,-59.777965
6761,Mahdia Airport,MHA,GY,5.277490139007568,-59.151100158691406
6762,Maikwak Airport,VEG,GY,4.898172,-59.817027
6763,Monkey Mountain Airport,MYM,GY,4.483329772949219,-59.68330001831055
6764,Matthews Ridge Airport,MWJ,GY,7.487736,-60.185237
6765,Stanton Airfield,SYN,US,44.475579,-93.016756
6766,New Amsterdam Airport,QSX,GY,6.244324,-57.474172
6767,Orinduik Airport,ORJ,GY,4.72527,-60.035
6768,Paramakatoi Airport,PMT,GY,4.6975,-59.7125
6769,Paruima Airport,PRR,GY,5.81724,-61.055489
6770,Sand Creek Airport,SDC,GY,2.9913,-59.51
6771,Skeldon Airport,SKM,GY,5.8599,-57.14894
